word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
le'onai	cmavo-compound		UI*5	attitudinal modifier: aggressive - passive - defensive.				100000	defensive																																																					
le'onmo	fu'ivla			$x_1$ feels/is aggressive/hostile/antagonistic towards $x_2$	A brivla form of the attitudinal {le'o}.  Similar to {gunta}, but different in that a {gunta} is actively attacking the {selgunta}, but a {le'onmo} simply feels the emotions associated with {gunta}ing.  Additionally, {no'e} {le'onmo} means "passive", and {to'e} {le'onmo} means "defensive".			3	aggressive	emotion	antagonistic		hostile	emotion																																			aggressive thing		thing against one is aggressive											
le'otci	lujvo			$t_1$ is a monocle/pair of (eye)glasses/spectacles for observational activity $t_2$.	Cf. {lenjo}, {tutci}, {barkalyle'o}, {vistci}.			4	eyeglasses		glasses		monocle		specs		spectacles																																													
le pormojdju po'u me'o ny ry ty by py ny	phrase			mnemonic for memorizing original FAhA3 in sequence.	In English, perhaps ‘near it, by penetration’ may aid in the memorization of «joi'u'i ce'o zo ne'a zo re'o zo te'e zo bu'u zo pa'o zo ne'i [nu'u]».  In Lojban, perhaps «nenri ta'i bi pagre nu nerkla lo kubli», which also happens to describe the original FAhA2 cmavo seen as 6 sides of a cube plus {ru'u} and experimental {ma'a'u} (to the side of).			1	FAhA3 mneumonic	phrase																																																				
lepsauru	fu'ivla			$x_1$ is a lepidosaur (scaled lizard)				1	lepidosaur																																																					
lerbasysre	lujvo			$s_1$ makes a typo, typing/writing letter $l_1=b_1$ in place of $l_1=b_2$ in word $b_3$ by standard $s_4$	The standard place covers cases of different spelling conventions in other languages and possibly other dialects of Lojban. For example, 'colour' is a typo is American English, but correct in British English.			1	make a typo	making an error in written text	typo	an error in written text																																																		
lerci	gismu	lec		$x_{1}$ (event) is late by standard $x_{2}$.	See also {clira}.			100000	late																																																					
lerci'e	lujvo			$x_1=c_1$ is a script/writing system with rules $x_2=c_2$ among glyphs $x_3=c_3=l_1$ displaying $x_4=c_4$	from {lerfu}+{ciste}			1	script	writing system	writing system	a system for writing one or more languages																																																		
lercu'aca'a	lujvo			$ca_1$ is a keyboard for entering letters/symbols $l_1=cu_2$.	Cf. {batkyci'a}.			4	computer keyboard		keyboard	computer/typewriter																																					keyboard	computer/typewriter												
lercu'aca'aci'aci'e	lujvo			$x_1=ciste_1$ is a keyboard layout used by $x_2=ciska_1$ to enter letters/symbols $x_3=lerfu_1=ciska_2=cuxna_2$.				4	keyboard layout																																								keyboard layout													
lerfanva	lujvo			$x_1$ transliterates text $x_2$ to orthography $x_3$ from orthography $x_4$ with transliteration $x_5$.				1	transliterate																																																					
lerfi'ubu	fu'ivla			$x_1$ is a slash punctuation mark				1	slash	punctuation mark																																																				
lerfu	gismu	ler     le'u		$x_{1}$ (la'e zo BY/word-bu) is a letter/digit/symbol in alphabet/character-set $x_{2}$ representing $x_{3}$.	Also $x_1$ glyph, rune, character (also me'o BY/word-bu), $x_2$ symbol set; (adjective:) $x_1$ is alphabetic/symbolic; "letteral" used by analogy with "numeral"; sinxa is the more generic symbol.  See also {mifra}, {namcu}, {sinxa}, {pandi}.			100001	letteral		letter	letteral	character	letteral																																																
lerfusu	fu'ivla			$x_1$ is a part of Lojban text representing rule 'lerfu-string' according to the first edition of the book 'The Complete Lojban Language'.	Inner structure of the rule: lerfu-word (PA | lerfu-word)*. For the description of the syntax see {jarnezi}.			1																																																						
lerkoma	fu'ivla			$x_1$ is a comma punctuation mark				1	comma	punctuation mark																																																				
lerldjamo	fu'ivla			$x_1$ is a jamo in syllable $x_2$ in writing system $x_3$ (default Hangul)				1	jamo																																																					
lerpavmoivla	lujvo			$l_1$ (quoted letteral) is the first letter of the word $v_1$.	Only a single letter(al) is allowed for $l_1$. Both the letteral and the word must be quoted. See also: {lerfu}, {pa}, {moi}, {valsi}, {leryrolmoivla}.			1																																																						
lerpinsle	lujvo			$s_1=p_1$ is a line in the text $s_2$.	Cf. {vlali'i}, {lerseltcidu}.			2	line	of text	text line																																																			
lerpoi	lujvo			$p_1$ is a character string (sequence of letterals) in alphabet/character-set $l_2$ representing $l_3$				3	sequence of letterals		string	computer science																																					sequence of letterals		alphabet											
lerpoijaspu	lujvo			$j_1=p_1$ (zoi-quote/character sequence) is a password/passphrase issued to $j_2$ by issuer/authority $j_3$, allowing activity $j_4$.	Cf. {lerpoi}, {jaspu}.			2	password		passphrase																																						password													
lerseltcidu	lujvo			$t_2$ is a text in medium $t_3$ with character set $l_2$.				2	text	written language																																																				
lersnamatsi'o	lujvo			$x_1$ is audio-visual isomorphism; the concept of letter(s) $x_2$ matching up one-to-one with sound(s) $x_3$				1	audio-visual isomorphism		audiovisual isomorphism																																																			
lertcitydetri	lujvo			$x_1$ is the letteral-tagged timestamp of event/state/duration $x_2$, at timezone location $x_3$, by calendar $x_4$	Refers to http://mw.lojban.org/papri/loi_lerfu_tcita_detri. See {detri}, {tcika}, {temjudri}, {de'i}, {ti'u}, {te'i}			2	letteral-tagged timestamp																																																					
lertermifra	lujvo			$m_3$ is a character encoding for bytes $m_2$ with symbols/font $m_1$.	Cf. {lerfu}, {mifra}, {skami}.			1	character encoding																																																					
lervla	lujvo			$v_1$ is a word which stands for the letter/digit/symbol $v_2=l_1$ in language $v_3$.	Also called “letteral” when referring to Lojban. See also: {lerfu}, {valsi}.			1																																																						
leryrolmoivla	lujvo			$l_1$ (quoted letteral) is the last letter of the word $v_1$.	Only a single letter(al) is allowed for $l_1$. Both the letteral and the word must be quoted. See also: {lerfu}, {ro}, {moi}, {valsi}, {lerpavmoivla}.			1																																																						
le sego'i	cmavo-compound		KOhA*	description pro-sumti: reuses the value of the $x_{2}$ of the previous bridi.				100000	the x2 of last bridi																																																					
lespei	lujvo			$x_1$ philosophizes / thinks about philosophy $x_2$ about subfield $x_3$				1	philosophize																																																					
lespre	lujvo			$x_1$ is a philosopher, espousing philosophy $x_2$ about subfield $x_3$	See {flese}, {prenu}, {skepre}			1	philosopher																																																					
lesrplatono	fu'ivla			$x_1$ is Platonic/a Platonistic ideal/philosophy about topic $x_2$ characterized by thoughts/ideals $x_3$ and methodology $x_4$, according to thinker/user/standard $x_5$	See also: {flese} (an experimental gismu with short rafsi -les- (not yet officially accepted))			1	Platonic	philosophical																																																				
lesrxapsurde	fu'ivla			$x_1$ (notion) is Absurd/is characterized by an Absurd nature in aspect $x_2$, belonging to school of philosophy/type of Absurdism $x_3$, according to standards/methodology/classification/claim $x_4$	{flese} is an experimental gismu and the short rafsi -les- is not officially assigned. For the term "Absurdism" itself, consider: te lesrxapsurdie. The Absurd in this case is that associated with, for example, Albert Camus and other philosophers.	philosophy		1	Absurdism	philosophy, school of thought																																																				
lesrxapsurdie	obsolete fu'ivla			$x_1$ (notion) is Absurd/is characterized by an Absurd nature in aspect $x_2$, belonging to school of philosophy/type of Absurdism $x_3$, according to standards/methodology/classification/claim $x_4$	{flese} is an experimental gismu and the short rafsi -les- is not officially assigned. For the term "Absurdism" itself, consider: te lesrxapsurdie. The Absurd in this case is that associated with, for example, Albert Camus and other philosophers.	philosophy		1	Absurdism	philosophy, school of thought																																																				
leta	cmavo-compound		LE*	possessive/associative descriptor: nearby demonstrative possessive; cannot use for 'THAT ...'.				100000	that one's																																																					
letceFLAN	cmevla			leche flan, caramel custard				1																																																						
letci	experimental gismu			$x_1$  is a lychee (Litchi chinensis) of variety $x_2$ 	荔枝 Mandarin "lìzhī"; Cantonese "lai6zi1"			2																																																						
leTCON	cmevla			roasted pig	Spanish "lechón"; Tagalog "litsón"			1																																																						
le tego'i	cmavo-compound		KOhA*	description pro-sumti: reuses the value of the $x_{3}$ of the previous bridi.				100000	the x3 of last bridi																																																					
leti	cmavo-compound		LE*	possessive/associative descriptor: immediate demonstrative possessive; cannot use for 'THIS ...'.				100000	this one's																																																					
letu	cmavo-compound		LE*	possessive/associative descriptor: distant demonstrative possessive.				100000	the yonder one's																																																					
le'u	cmavo		LEhU	end quote of questionable or out-of-context text; not elidable.				100000	end error quote																																																					
leva	cmavo-compound		LE*	located descriptor: descriptive that-there (non-demonstrative).				100000	that there																																																					
le vego'i	cmavo-compound		KOhA*	description pro-sumti: reuses the value of the $x_{4}$ of the previous bridi.				100000	the x4 of last bridi																																																					
levi	cmavo-compound		LE*	located descriptor: descriptive this-here (non-demonstrative).				100000	this here																																																					
levu	cmavo-compound		LE*	located descriptor: descriptive that-yonder (non-demonstrative).				100000	that yonder																																																					
le xego'i	cmavo-compound		KOhA*	description pro-sumti: reuses the value of the $x_{5}$ of the previous bridi.				100000	the x5 of last bridi																																																					
li	cmavo		LI	the number/evaluated expression; convert number/operand/evaluated math expression to sumti.				100000	the number																																																					
li'a	cmavo		UI3	discursive: clearly - obscurely.	See also {klina}.			100000	clearly																																																					
li'ai	experimental cmavo		LI	unevaluated mekso as name.	Where "la broda brode" is to "la'e lu broda brode" as "li'ai by cy" is to "la'e me'o by cy". See also {li}, {me'o}, {la}, {la'e}.			2	mekso	as a name																																																				
li'anai	cmavo-compound		UI*3	discursive: clearly - obscurely.				100000	obscurely																																																					
li'ansi	fu'ivla			$x_1$ practices, trains its ability $x_2$ (property of $x_1$)	Use '$x_2$ {ne} {se} {ta'i}' to specify the method of practise. See also {crezenzu'e}, {kakne}, {cilre}, {atlete}. Etymology: from Mandarin 練習 liànxí.			3																																																						
li'ante	fu'ivla			$x_1$ is a liana, a climbing woody vine				1	liana																																																					
liante	obsolete fu'ivla			$x_1$ is a liana, a climbing woody vine				3																																																						
li'armi	fu'ivla			$x_1$ (du'u - fact/truth) is obvious / clear / self-evident to $x_2$	See {li'a}, {gasfrili}, {jmifrili}, {filseljmi}, {filsmu}			3	clear	obvious	obvious	self-evident	self-evident																																																	
li'au	experimental cmavo		LIhAU	terminator of selma'o LUhEI	See also {lu'ei}, {li'u} and {me'u}.			1																																																						
li'avro	lujvo			$v_1$ is an exit out of $c_2$.	Cf. {cliva}, {vorme}, {vrogai}			3	exit	door for leaving	way out																																						exit	door for leaving												
libjo	gismu	lib		$x_{1}$ reflects Libyan culture/nationality in aspect $x_{2}$.	See also {friko}, {xrabo}, {muslo}.			99999	Libyan																																																					
libru'u	lujvo			$r_1$ is measured in libyan dinar (دينارLYD) as $r_2$ (quantity), in the Libyan monetary system $r_3$.				1	dinar	major-money unit (Libyan currency)																																																				
licne	experimental gismu			$x_1$ is a/the clitoris of $x_2$	devised by la velmifra circa 2020			1	clit	clitoris	clitoris	organ																																					clitoris	organ												
lidgusyjinme	lujvo			$x_1$ is a quantity of/contains/is made of magnesium [Mg]				1	Mg	magnesium																																																				
lidne	gismu	        li'e		$x_{1}$ precedes/leads $x_{2}$ in sequence $x_{3}$; $x_{1}$ is former/preceding/previous; $x_{2}$ is latter/following.	Also $x_1$ before, forerunner; leading, as in 'leading indicators'; $x_2$ after, trailing (= {selyli'e} for reordered places).  See also cmavo list {li'e}, {balvi}, {ralju}, {rebla}, {purci} for time sequence, {jersi}, {porsi}, {jatna}, {farna}.			100004	lead	precede	precede	in sequence																																																		
lidvilti'a	lujvo			$t_1=v_1$ is a thunderstorm at place/region $t_2$	Cf. {lindi}, {vlile}, {tcima}.			2	storm	weather	thunderstorm	weather																																																		
lidvru	lujvo			$s_1$ is thunderous to $s_2$.	Cf. {lindi}, {savru}.			1	thunder	sound emitted by lightning	thunderous																																																			
lidycevjinme	lujvo			$x_1$ is a quantity of/contains/is made of thorium [Th]				1																																																						
lidysna	lujvo			$s_1$ is a thunder [sound] produced/emitted by lightning $s_2=l_1$.	Cf. {lindi}, {sance}.			2	thunder	sound emitted by lightning																																							thunder	sound emitted by lightning	lightning											
li'e	cmavo		BAI	lidne modal, 1st place                            preceded by ...; non-time sequencing.				100000	preceded by																																																					
li'ei	experimental cmavo		LIhEI	arbitrary character string or irregular number	Accepts any arbitrary string of BY, bu-letterals, PA. Elidable terminator: {lo'o}. See {li'ai}, {me'o}, {mo'e}, {li}. [Tentative proposal: {li'ei} = {li} {pe'o} {joi'i} / {me'o} {pe'o} {joi'i}]			4	arbitrary character string																																																					
li'ei'au	experimental cmavo			ternary mekso operator: retrieves/gets/outputs the $X_2$th entry/term from ordered list $X_1$ under indexing rules $X_3$.	If $X_2$ is an integer such that, according to $X_3$,  $X_2$ is inclusively between the least index and the greatest index of $X_1$, then this word outputs the $X_2$th entry. If $X_2$ is a set, then the outputs is the ordered list such that each entry thereof is some entry of $X_1$ such that its index in $X_1$ according to $X_3$ belongs to $X_2$; the output list is reindexed (so that the $j$th entry thereof has index $j$, where $j$ is a positive integer).			1	retrieve list item																																																					
li'enrafsi	lujvo			$x_1=r_1=l_1$ is a prefix for word/concept $x_2=r_2=l_2$, form/properties $x_3=r_3$, language $x_4=r_4$	Cf. {selyli'erafsi}, {rafsi}, {valsi}, {lujvo}, {pagbu}			3	prefix																																								prefix		word stem		prefix form		prefix language							
li'enrai	lujvo			$x_1=t_1=l_1$ is initial / first / [top leader] in property $x_2=t_2$, toward extreme / as xth-most initial $x_3=t_3$, in sequence / set $x_4=t_4=l_2$.				1	initial	first																																							initial	first												
li'erla'i	lujvo			$li_1=la_1$ immediately precedes $li_2=la_2$ in sequence $li_3=la_3$.	Synonym: {lamli'e}.			2	precede	immediately, in sequence	precede immediately	in sequence																																																		
LIEtuvas	obsolete cmevla			Lithuania.				2	Lithuania																																																					
lietuvos	obsolete cmevla			Lithuania.				2	Lithuania																																																					
lifnei	lujvo			$x_1$ likes to do/be $x_2$ (ka); $x_1$ enjoys doing/being $x_2$ (ka).	See also {lifri}, {nelci}, {pluka}.			2	like to do																																																					
lifri	gismu	lif fri		$x_{1}$ [person/passive/state] undergoes/experiences $x_{2}$ (event/experience); $x_{2}$ happens to $x_{1}$.	Also has/have (of events/experiences); (adjective:) $x_1$ is empirical; suggests passive undergoing but does not exclude active (per zukte) intent; a deserved experience: reward or punishment (= {jernyfri}, {zanjernyfri}, {maljernyfri}).  See also cmavo list {ri'i}, {jmive}, {fasnu}, {renvi}.			100001	experience		face	deal with																																																		
ligma	experimental gismu			$x_1$ plays a joke on $x_2$ using homophonous word $x_3$ (default ligma) with intended meaning $x_4$ (ligma balls)	This word is mostly used to translate sentences from Sugandese.	A popular activity among 13-year-olds		4	bofa		ligma		sawcon																																																	
ligyfebvi	lujvo			$x_1=f_1=s_2$ sublimates/evaporates from the solid state at temperature $x_2=f_2=s_3$ with vapor pressure $x_3=f_3$.	From {sligu} {febvi}; refers to a direct change of the state of matter from solid to gaseous. Cf. {gacydunja}			2	sublimate	transition of the state of matter																																																				
li'i	cmavo	liz	NU	abstractor: experience abstractor; $x_{1}$ is $x_{2}$'s experience of [bridi] (participant or observer).				100000	experience abstract																																																					
liiaunin	cmevla			Liaoning				1																																																						
li'i'e	experimental cmavo		BAI	 lisri modal, 1st place: in/belonging to/of/from story...	Of a character, location, event, etc.; something which exists in the universe of the story.			2	in story		belonging to story		of story		from story																																															
li'imdu	fu'ivla			$x_1$ (li'i) is the subjective conscious experience of $x_2$ (nu or ka-of-$x_3$), as experienced by $x_3$	Brivla form of {li'i}. See {lifri}, {vedli}, {li'i}, {nundumu}, {du'umdu}, {su'umdu}, {zilkai}, {ganseti}			2	experience	abstract																																																				
li'imfri	fu'ivla			$x_1$ consciously experiences $x_2$ (nu/ka)	See {li'imdu}, {lifri}, {li'i}			2	experience	consciously																																																				
li'imse'i	fu'ivla			$x_1$ is the consciousness of $x_2$	See {li'imdu}, {li'imfri}, {sevzi}, {ruxse'i}			1	consciousness																																																					
li'i ze'ei ka	cmavo-compound		NU*	abstractor: experience of being: $x_1$ is $x_2$'s experience of being [bridi] (property of $x_2$; with {ce'u} referring to $x_2$'s position)	= {li'imdu} {be} {lo} {ka}. See {li'i}, {ze'ei}, {li'i ze'ei nu}			1	experience of being																																																					
li'i ze'ei nu	cmavo-compound		NU*	abstractor: experience of event: $x_1$ is $x_2$'s experience of observing or participating in [bridi] (event)	= {li'imdu} {be} {lo} {nu}. See {li'i}, {ze'ei}, {li'i ze'ei ka}			1	experience of event																																																					
lijda	gismu	    jda		$x_{1}$ is a religion of believers including $x_{2}$ sharing common beliefs/practices/tenets including $x_{3}$.	Also mythos, creed, traditional beliefs, $x_2$ people(s), adherents; (adjective:) $x_1$, $x_2$, $x_3$ are religious/ecclesiastic in nature; $x_2$ is a believer in/of $x_1$, an adherent/follower of $x_1$ (= {seljda} for reordered places); $x_2$ is a practitioner of $x_3$ (= {selterjda} for reordered places); $x_3$ is a tenet/belief/ritual/creed of $x_1$/$x_2$ (= {terjda} for reordered places); priest/clerical (= {jdaca'i}, {jdaka'i}, {jdaja'a}); organized church/religion (= {be'ejda}); congregation (= {jdabe'e}, {jdagri}).  See also {budjo}, {censa}, {cevni}, {crida}, {dadjo}, {jegvo}, {krici}, {latna}, {malsi}, {marde}, {muslo}, {pruxi}, {ranmi}, {ritli}, {xriso}, {zekri}.			100002	religion																																																					
lijdrba'a,i	fu'ivla			$l_1$ is the Bahai religion with beliefs/practices/tenets including $l_3$				1	Bahaism																																																					
lijdrdjaina	fu'ivla			$l_1$ is the Jain religion with beliefs/practices/tenets including $l_3$				1	Jainism																																																					
lijgri	lujvo			$g_1$ is a row (group) showing common property (ka) $g_2$ due to set $g_3$ linked by relations $g_4$.	Cf. {lerpinsle}, {depypoi}.			1	row	of objects																																																				
lijnilcla	lujvo			$x_1=n_1$ is the length of line $x_2=l_1=c_1$ defined by set of points $x_3=l_2$ in measurement system $x_4=n_2=c_3$	Lines are 1D, so clani2 is derived. Cf. {lutnilcla}			2	distance	straight line																																																				
lijypanra	lujvo			The lines $l_1=p_1$ and $l_1=p_2$ are parallel, according to geometry $p_4$.				1	parallel	between two lines																																																				
likcri	lujvo			$x_1=c_1$ leaks liquid $x_2=c_2=l_1$ at locus $x_3=c_3$, liquid composition $x_4=l_2$.				2	leak																																																					
likpu'i	lujvo			$x_1=p_1$ (agent) anoints/rubs/greases/pours onto/applies/lubricate/baptises $x_3=p_3$ with liquid/semi-liquid/oil/cream/ointment $x_2=p_2=l_1$.				3	anoint		apply	liquid/semi-liquid	baptise	pour liquid onto	grease	application of lubricant	lubricate		pour onto		rub	applying cream/ointment																											anointer		ointment		anointed	one on whome liquid is placed								
likro'i	lujvo			$x_1=r_1=l_1$ is a quantity of lava/magma [liquid rock] of composition including $x_2=r_2=l_2$ from location $x_3=r_3$ under conditions $x_4=l_3$.	No distinction on whether it has erupted yet.			3	lava or magma		liquid rock																																						liquid rock													
likrokro'i	lujvo			$x_1$ is a quantity of igneous rock of type/composition $x_2$ from location $x_3$	See {litki}, {rokci}, {likro'i}			2	igneous rock																																								igneous rock													
likrtcigaso	fu'ivla			$x_1$ is gasoline of grade $x_2$ with additives $x_3$.	See also: {litki}			2	gasoline	oil																																																				
likse	experimental gismu			$x_1$ is a $x_2$y, a $x_2$boo, a $x_2$ums (diminutive)	Proposed rafsi -le, -li or -ke. See {mabla}, {zabna}, {cmalu}			2																																																						
likygau	lujvo			$g_1$ (agent) causes $l_1$ to be a quantity of liquid of composition $l_2$ under conditions $l_3$.	Example 12.72 (cll 1.1).			2	liquefy	agent																																																				
likykrili	lujvo			$x_1$ is liquid crystal (phase of matter) made of $x_2$.				1																																																						
likyri'a	lujvo			$r_1$ causes $l_1$ to be a quantity of liquid of composition $l_2$ under conditions $l_3$.	Example 12.74 (cll 1.1).			1	liquefy	causal																																																				
lilctile	lujvo			$x_1=c_1=l_1$ is petrol/gasoline/diesel for powering $x_2=l_2$ from source $x_3=c_2$, of grade $x_4$ with additives $x_5$.	See also {ma'erlivla} (more general), {likrtcigaso} (synonym), {tcigaso} (synonym).			1	petrol	fuel	gasoline	fuel	gas	fuel	diesel	fuel																																														
lilgundi	lujvo			$g_1$ is a/the energy industry/sector producing fuel/energy source $g_2=l_1 $ for powering $l_2$ based on process $g_3$	From {livla}, {gundi}.			1	energy industry		energy sector																																																			
lilmudri	lujvo			$m_1=l_1$ is a quantity of firewood/fuel wood from tree(s) of type/species $m_2$, for powering $l_2$.				2	firewood		fuel wood																																																			
lilneia	fu'ivla			$x_1$ is Linnaean in aspect $x_2$ (ka).				2	Linnaean																																																					
lilneia zei cmene	zei-lujvo			$x_1$ is the Linnaean name of $x_2$				3	Linnaean name																																																					
lilrkerozine	fu'ivla			$x_1$ is a quantity of kerosene (fuel) for powering $x_2$.	Cf. {livla}			2	kerosene	fuel	kerosine	fuel	jet fuel	kerosene																																			kerosin	fuel												
limbirka	lujvo			$x_1$ is a fin or flipper (body part) of $x_2$.				2																																																						
limfa	experimental gismu			$x_1$ is a lymph of body $x_2$	See also {ciblu}			2	lymph																																																					
limla'u	lujvo			$la_1$ is a pool where $li_1$ swims in fluid $li_2$.	Cf. {limna}, {lalxu}.			5	pool	swimming pool	swimming pool																																						swimming pool		swimmer		pool water									
limna	gismu	lim		$x_{1}$ (agent) swims in fluid $x_{2}$.	See also {djacu}, {fulta}, {klama}, {litru}.			100000	swim																																																					
limnada	fu'ivla			$x_1$ is lemonade of type/variety $x_2$				2																																																						
limna'i	lujvo			$n_1$ is a flipper [body-part] of $n_2$.	Cf. {limna}, {nalci}, {fipybirka}.			2	flipper	body part																																																				
limpastu	lujvo			$p_1$ is a swimsuit of material $p_2$				1	swimsuit	clothing worn for swimming																																																				
limxone	fu'ivla			$x_1$ is a lemon of species/variety $x_2$				1																																																						
lincarka'a	lujvo			$k_1$ is a chainsaw cutting/splitting/dividing $k_2$ into pieces $k_3$	{linsi} + {carka'a}			2	chainsaw																																																					
lince	experimental gismu			$x_1$ is a lynx of species $x_2$				1																																																						
lindar	cmevla			Lindar Kelleigh Greenwood	First name Lojbanised. A member of the Lojban central community.			2																																																						
lindi	gismu	lid		$x_{1}$ is lightning/electrical arc/thunderbolt striking at/extending to $x_{2}$ from $x_{3}$.	Also thunder (= {lidysna}).  See also {dikca}.			100000	lightning																																																					
linga	experimental gismu			$x_1$ is the ISO-named language of people $x_2$ with ISO-name $x_3$, according to rule/specification $x_4$	See also {jviso}, {bangu}.			1	language	ISO-named																																																				
linga'axa'i	lujvo			$x_1$ is a nunchaku.	A Japanese weapon consisting of two wooden sticks connected by a chain; also spelled ``nunchuku''			1	nunchaku		nunchuku																																																			
linge	experimental gismu	ling		$x_1$ has [self-proclaimed] gender $x_2$	Gismu form of {lingeni}.  Used to differentiate from {cinse} which is primary used to mean 'sexual'.			1																																																						
lingeni	fu'ivla			$x_1$ has [self-proclaimed] gender $x_2$ (property of $x_1$)	$x_1$ identifies their social gender as $x_2$ [a man, a woman, non-binary (i.e. neither, but still exhibits gendered behaviour), agender (opts out of gender)]. Gender here denotes a social role loosely defined as a combination of how one relates to others socially/societally and how one presents oneself. Gender here is not determined by chromosomal makeup, genital configuration, or sexual/romantic orientation of $x_1$. $x_2$ can contain such verbs as {nanmu} - 'male', {ninmu} - 'female', {mlini'u} - 'demi-girl' (only loosely feminine), {mlinau} - 'demi-guy' (only loosely masculine), {cenba} - 'genderfluid', genderqueer, {nunmu} = 'non-binary' and 'agender'. See also: {tracinse}.			4	identify	self-identify as one's gender																																							someone with a gender identity	self-identity	gender identity	self-identity										
lingona	fu'ivla			$x_1$ is a lingonberry of species/variety $x_2$	Alternative to {bakyjba}, the metaphor of which may not be understood by non-English speakers.			1																																																						
lingote	fu'ivla			$x_1$ is an ingot of $x_2$; $x_1$ is a a solid block of more or less pure $x_2$	often but not necessarily bricklike in shape and trapezoidal in cross-section, often the result of pouring out and cooling molten metal, often immediately after smelting from raw ore or alloying from constituents. See also {bliku}, {runme}, {jinme}			2																																																						
lingyxei	lujvo			$x_1$ exhibits gender discrimination towards $x_2$.   $x_1$ is sexist.	cf. {linge} {xebni}			1																																																						
linji	gismu	lij     li'i		$x_{1}$ is a line/among lines [1-dimensional shape/form] defined by set of points $x_{2}$.	Ray/vector ({farli'i} or {porli'i}).  See also {kruvi}, {sirji}, {jganu}, {kantu}, {mokca}.			100001	line	mathematical																																																				
linkara	fu'ivla			$x_1$ (agent) reviews artistic work $x_2$ with criticism/praise $x_3$ (du'u) in medium $x_4$ (default online video); $x_1$ is a reviewer/critic	x2 is a {larseku}			3	review	critically evaluate																																							reviewer		creative work		opinion		medium	communication format						
linlani	fu'ivla			$x_1$ is a lily-of-the-valley / may-lily (Convallaria) of species/strain $x_2$				2	lily-of-the-valley	Convallaria	may-lily	Convallaria																																																		
linme	experimental gismu			$x_1$ is a quantity of slime/goop/goo of material/composition including $x_2$.	Cf. {jduli}, {pesxu}, {runta}, {cilmo}.			2	slime	a viscous wet substance																																																				
linsi	gismu	lin		$x_{1}$ is a length of chain/links of material $x_{2}$ with link properties $x_{3}$.	See also {skori}.			100000	chain																																																					
linto	gismu	        li'o		$x_{1}$ is light in mass/weight by standard $x_{2}$.	(cf. {junta}, {tilju}; {se} {xalbo}, {kandi} for metaphor)			100002	lightweight																																																					
lintoca	fu'ivla			$x_1$ drizzles to/on $x_2$ from $x_3$	See also {carvi}, {linto}, {bratuca}.			1	drizzle	rain																																																				
linuks	cmevla			Linux	name of an operating system kernel			1																																																						
li'o	cmavo		UI3a	discursive: omitted text (quoted material).				100001	omitted text		et cetera	etc.																																																		
li'oi	experimental cmavo		UI3a	marks word/construct as being optional, i.e. the bridi would still be both grammatical AND reflect the speakers opinion/intention would the marked construct be left out	{coi} {fu'e} {li'oi} {la} {fu'o} {selpa'i} would semantically expand to {coi} {la} {selpa'i} and {coi} {selpa'i} meaning that both a person named {selpa'i} and a beloved one is being greeted (both being the same person).			4	optional word																																																					
li'orkliru	lujvo			$x_1$ is a quantity of/contains/is made of fluorine.				4	F	element	fluorine																																																			
li'orklirysilna	lujvo			$s_1$ is a fluoride of $s_3$.	see also {li'orklirytau}			1	fluoride	salt																																																				
li'orklirytau	lujvo			$t_1$ is a fluoride of $t_3$.	See also {li'orklirysilna}.			1	fluoride	nonsalt																																																				
liptila	fu'ivla			$x_1$ is a linden of species $x_2$				1																																																						
lirgli	lujvo			$g_1$ is Old English/pertains to Old English-speaking culture in aspect $g_2$, early by standard $x_3=c_2$.				1	Old English																																																					
lirmau	lujvo			$x_1$ is earlier than $x_2$ by amount of time $x_3$.	cf. lecmau, temci			2	earlier																																								earlier		later		time interval									
lirvacysai	lujvo			$s_1$ (mass) is a lupper (lunch-supper) composed of dishes including $s_2$.				4	lupper	early evening meal	lunch-supper	early evening meal																																																		
liryrai	lujvo			$c_1=t_1$ is the earliest among set / range $t_4$.				2																																									earliest													
liryraixa'u	lujvo			$lr_1=xa_1$ is / are the earliest person(s) to dwell/live/reside/abide at/inhabit/be a resident of location/habitat/nest/home/abode $xa_2$ among set / range $lr_2$.	Made from {liryrai} + {xabju}.			1	native	aboriginal																																							aboriginal													
lisne'i	lujvo			$n_1$ is in character (actions or speech to be interpreted as part of a story/role-playing game)	out of character: {lisybartu}			1	in character	roleplay	IC	roleplay																																																		
