token	jbo	rafsi	en	description	jbo description
puso	pluta	lut lu'a	route way		$x_1$ is a route/path/way/course/track to $x_2$ from $x_3$ via/defined by points including $x_4$ (set).
pufo	sufti	sfu	hoof		$x_{1}$ is a/the hoof [body-part] of $x_{2}$.
puhu	pulji		police		$x_{1}$ is a police officer/[enforcer/vigilante] enforcing law(s)/rule(s)/order $x_{2}$.
puho	pluja	luj	complicated		$x_{1}$ is complex/complicated/involved in aspect/property $x_{2}$ (ka) by standard $x_{3}$.
puzu	pruri		itch		$x_1$ itches at locus $x_2$
puzo	purdi	pud	garden		$x_{1}$ is a garden/tended/cultivated field of family/community/farmer $x_{2}$ growing plants/crop $x_{3}$.
puvo	puvza		ago		$x_1$ happened $x_2$ length of time ago; $x_1$ happened $x_2$ length of time before $x_3$
puru	purci	pur pru	past	$nは$aの過去に有る (時間方向で小さい)	$x_{1}$ is in the past of/earlier than/before $x_{2}$ in time sequence; $x_{1}$ is former; $x_{2}$ is latter.
puro	pulni		pulley		$x_{1}$ is a pulley [tool] for performing action/function $x_{2}$ rotating on axle $x_{3}$.
pege					
pega					
peni	pentu		non-binary sibling		$x_1$ is a non-binary sibling of/to $x_2$ by bond/tie/standard/parent(s) $x_3$; [not necessarily biological].
pene	prane	pa'e	perfect ideal		$x_{1}$ is perfect/ideal/archetypical/faultless/flawless/un-improvable in property/aspect $x_{2}$ (ka).
penq	pendo	ped pe'o	friend	$nは$aの友	$x_{1}$ is/acts as a friend of/to $x_{2}$ (experiencer); $x_{2}$ befriends $x_{1}$.
pena	pensi	pes pei	think	$nは$aを考ふ (思ふ)	$x_{1}$ thinks/considers/cogitates/reasons/is pensive about/reflects upon subject/concept $x_{2}$.
pemi	penmi	pen pe'i	meet		$x_{1}$ meets/encounters $x_{2}$ at/in location $x_{3}$.
peme	speni	spe	married spouse	$nは$aを補完する (の雙對)	$x_{1}$ is married to $x_{2}$; $x_{1}$ is a spouse of $x_{2}$ under law/custom/tradition/system/convention $x_{3}$.
pemq					
pema	penka		pink		$x_1$ is pink
pexe	pesxu	pex	paste		$x_{1}$ is paste/pulp/dough/mash/mud/slurry [soft, smooth-textured, moist solid] of composition $x_{2}$.
pexa	plixa	lix	plow		$x_{1}$ (agent) plows/furrows/tills [cuts into and turns up] $x_{2}$ with tool $x_{3}$ propelled by $x_{4}$.
peli	pemci	pem	poem		$x_{1}$ is a poem/verse about plot/theme/subject/pattern $x_{2}$ by author $x_{3}$ for intended audience $x_{4}$.
pele	praci		practice exercise		$x_1$ practices/exercises $x_2$ (ka)
pelq	pencu	pec pe'u	touch	$nは$a (力) を觸覺する	$x_{1}$ (agent) touches $x_{2}$ with $x_{3}$ [a locus on $x_{1}$ or an instrument] at $x_{4}$ [a locus on $x_{2}$].
pela					
pese	petso	pet	1E15		$x_{1}$ is $10^{15}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
pesa	spisa	spi	piece		$x_{1}$ [object/substance] is a piece/portion/lump/chunk/particle of $x_{2}$ [substance].
pefi					
pefe					
pefq					
pefa					
pehe					
peha	platu	pla	plan measure		$x_{1}$ (agent) plans/designs/plots plan/arrangement/plot/[schematic] $x_{2}$ for state/process $x_{3}$.
peji	pleji	lej le'i	pay		$x_{1}$ pays/compensates/remunerates/[rewards] payment $x_{2}$ to recipient/payee $x_{3}$ for goods/services $x_{4}$.
peje	prije	pij	wise		$x_{1}$ is wise/sage about matter $x_{2}$ (abstraction) to observer $x_{3}$.
pejq					
peja	preja	pej pe'a	spread		$x_{1}$ spreads/expands over/into $x_{2}$ from initial state $x_{3}$.
peze	pezli	pez	leaf	$nは葉	$x_{1}$ is a leaf of plant $x_{2}$; $x_{1}$ is foliage of $x_{2}$.
peza					
pevi	penbi	peb	pen		$x_{1}$ is a pen using ink $x_{2}$ applied by process $x_{3}$.
peve					
pevq					
peva	pevna		to be metaphorically described		$x_1$: its qualities are represented as a metaphor $x_2$ in dimension $x_{3+1,2}$
peri	pelji	ple	paper		$x_{1}$ is paper from source $x_{2}$.
pere	premi				$x_1$ is the principal/chief/main/boss/primary/premier in aspect/organizational principle/role $x_2$ (ka) in organization/system $x_3$.
perq	perli	per	pear		$x_{1}$ is a pear [fruit] of species/strain $x_{2}$.
pera	pelxu	pel	yellow	$nは黃色を呈する	$x_{1}$ is yellow/golden [color adjective].
pqge					
pqne	prenu	pre	person people	$nは人間 (個人, 市民, 權利享有主體)	$x_{1}$ is a person/people (noun) [not necessarily human]; $x_{1}$ displays personality/a persona.
pqme					
pqxe			serene	$nは$aに平穩 (冷靜)	
pqle					
pqse					
pqfe					
pqhe					
pqje	preti	ret rei	question		$x_{1}$ (quoted text) is a question/query about subject $x_{2}$ by questioner $x_{3}$ to audience $x_{4}$.
pqze					
pqve					
pqre	preri		non-binary parent		$x_1$ is a non-binary parent of $x_2$ [not necessarily biological].
pogu					
pogo					
poga	proga		computer application program		$x_1$ is a program, computer application for doing $x_2$ (clause)
ponu	polno	pol	Polynesian		$x_{1}$ reflects Polynesian/Oceanian (geographic region) culture/nationality/languages in aspect $x_{2}$.
pono	ponse	pos po'e	possess	$nは$aを有する (保持する)	$x_{1}$ possesses/owns/has $x_{2}$ under law/custom $x_{3}$; $x_{1}$ is owner/proprietor of $x_{2}$ under $x_{3}$.
pona	porto	pot	Portuguese		$x_{1}$ reflects Portuguese culture/nationality/language in aspect $x_{2}$.
pomu					
pomo	pombo		only unique		$x_1$ is unique in property $x_2$; $x_1$ is the only thing/all of the things that satisfy $x_2$
poma	pluna		orbit		$x_1$ orbits a (common) barycenter with $x_2$, with orbital characteristics/parameterz $x_3$.
poxu					
poxo					
poxa	pluka	puk pu'a	pleasant please		$x_{1}$ (event/state) seems pleasant to/pleases $x_{2}$ under conditions $x_{3}$.
pola					
posu	porsi	por poi	sequence		$x_{1}$ [ordered set] is sequenced/ordered/listed by comparison/rules $x_{2}$ on unordered set $x_{3}$.
poso	posko		Polish Poland		$x_1$ reflects Polish culture/language/nationality in aspect $x_2$
posa	prosa	ros ro'a	prose		$x_{1}$ is prose about plot/theme/subject $x_{2}$ by author $x_{3}$ for intended audience $x_{4}$.
pofo					
pofa	poplu		poplar aspen		$x_1$ is poplar / aspen / cottonwood (plant of genus Populus) of species $x_2$
pohu	pruni	pun	elastic		(adjective:) $x_{1}$ is elastic/springy.
poho	ponjo	pon po'o	Japanese		$x_{1}$ reflects Japanese culture/nationality/language in aspect $x_{2}$.
poha					
poja	polje	plo	fold		$x_{1}$ (force) folds/creases $x_{2}$ at locus/loci/forming crease(s)/bend(s) $x_{3}$.
pozu					
pozo					
poza	spoja	poj po'a	explode		$x_{1}$ bursts/explodes/violently breaks up/decomposes/combusts into pieces/energy/fragments $x_{2}$.
povo					
pova					
poru	porpi	pop po'i	break	$nは$aを$d (部品) へ壞す (分解する)	$x_{1}$ breaks/fractures/shatters/[splits/splinters/cracks] into pieces $x_{2}$.
poro	porno				$x_1$ is pornography of sexual orientation $x_2$ in presentation/medium $x_3$ of specialty/specialization/concentration/focus $x_4$
pora	pocli				$x_1$ poses deflated and derided morally worthless, cheap, vulgar, commonplace, banal qualities according to $x_2$ in aspect $x_3$
pagw					
page					
pago	spano	san	Spanish		$x_{1}$ reflects Spanish-speaking culture/nationality/language in aspect $x_{2}$.
paga	pamga		papaya		$x_1$ is a papaya (fruit) of species/variety/cultivar $x_2$
panw	panra		parallel	$nは$aに對して平行	$x_{1}$ parallels $x_{2}$ differing only in property $x_{3}$ (ka; jo'u/fa'u term) by standard/geometry $x_{4}$.
pane	panpi	pap	peace		$x_{1}$ is at peace with $x_{2}$.
pano	paznu		non-binary offspring		$x_1$ is a non-binary offspring/child of parent(s) $x_2$ [not necessarily biological]; $x_1$ is filial (but not a son or daughter).
pana	pandi	pad	punctuate		$x_{1}$ (agent) punctuates $x_{2}$ (expression) with symbol/word $x_{3}$ with syntactic/semantic effect $x_{4}$.
pamw	pambe		pump		$x_{1}$ is a pump/injector [tool/apparatus] pumping/inserting fluid $x_{2}$ to $x_{3}$ from $x_{4}$ by means $x_{5}$.
pame	panlo	pa'o	slice		$x_{1}$ is a slice [thin flat portion] of $x_{2}$ (mass).
pamo	pagbu	pag pau	part	$nは全體$aの部分	$x_{1}$ is a part/component/piece/portion/segment of $x_{2}$ [where $x_{2}$ is a whole/mass]; $x_{2}$ is partly $x_{1}$.
pama	palne		tray		$x_{1}$ is a tray/platter/flat container [pan/sheet/griddle] of contents $x_{2}$, and made of material $x_{3}$.
paxw	patxu	pax	pot		$x_{1}$ is a pot/kettle/urn/tub/sink, a deep container for contents $x_{2}$, of material/properties $x_{3}$.
paxe	palci	pac	evil	$nは邪惡	$x_{1}$ is evil/depraved/wicked [morally bad] by standard $x_{2}$.
paxo	panka		park		$x_{1}$ is a park/land reserve managed by community/polity/company $x_{2}$ for purpose $x_{3}$.
paxa	paxra		cross section cross-section		$x_1$ is a cross-section (substance viewed cross-sectionally) of object $x_2$ made from perspective/side/orientation/along (and perpendicular to) axis $x_3$ (this determines the shape) and made in hyperplane/at depth/to contain/consisting of particular slice $x_4$ (this determines the size and content), of dimensionality $x_5$ [li; integer greater than -2, less than or equal to the dimensionality of $x_2$]; $x_1$ is the result and arranged content of the intersection of $x_2$ with an $(x_5) $-dimensional hyperplane that is perpendicular to axis $x_3$ and along it such that it has a depth (approximately $x_4$) in $x_2$ that allows it to contain a particular slice (of) $x_4$
pale	panci	pan	odor		$x_{1}$ is an odor/fragrance/scent/smell emitted by $x_{2}$ and detected by observer/sensor $x_{3}$.
pala	pacna	pa'a	wish		$x_{1}$ hopes/wishes for/desires $x_{2}$ (event), expected likelihood $x_{3}$ (0-1); $x_{1}$ hopes that $x_{2}$ happens.
pasw	pastu	pas	robe dress		$x_{1}$ is a robe/tunic/gown/cloak/dress/[coveralls] [a long/full body garment] of material $x_{2}$.
pase	pante	pat	protest		$x_{1}$ protests/objects to/complains about $x_{2}$ (event/state) to audience $x_{3}$ with action $x_{4}$.
paso	paska		Pascal		$x_{1}$ is $x_{2}$ Pascal [metric unit] in pressure (default is 1) by standard $x_{3}$.
pasa	patlu		potato		$x_{1}$ is a potato [an edible tuber] of variety/cultivar $x_{2}$.
pafw					
pafe	papri		page		$x_{1}$ is a [physical] page/leaf of book/document/bound mass of pages $x_{2}$.
pafo	palta		plate	$nは器 (皿, 碗, 盆, 杯, 壺, 瓶, 罐)	$x_{1}$ is a plate/dish/platter/saucer [flat/mildly concave food service bed] made of material $x_{2}$.
pafa	patfu	paf pa'u	father		$x_{1}$ is a father of $x_{2}$; $x_{1}$ begets/sires/acts paternal towards $x_{2}$; [not necessarily biological].
pahw					
pahe	pagre	gre	pass through	$nは通過點 (途中, 媒體) $aを通る	$x_{1}$ passes through/penetrates barrier/medium/portal $x_{2}$ to destination side $x_{3}$ from origin side $x_{4}$.
paho	parji		parasite		$x_1$ is a parasite of $x_2$.
paha	pajni	pai	judge		$x_{1}$ judges/referees/arbitrates/is a judge determining/deciding matter $x_{2}$ (abstract).
paje	panje		sponge		$x_{1}$ is a quantity of/contains/is made of sponge/porous material.
paja	palku	pak	pants trousers		$x_{1}$ are pants/trousers/slacks/leggings [legged garment] of material $x_{2}$.
pazw					
paze					
pazo	panzi	paz	offspring		$x_{1}$ is a [biological] offspring/child/kid/hybrid of parent(s) $x_{2}$; (adjective:) $x_{1}$ is filial.
paza	pagzu		participate		$x_1$ participates in $x_2$ in manner $x_3$
pavw					
pave					
pavo					
pava	cpana		upon		$x_{1}$ is upon/atop/resting on/lying on [the upper surface of] $x_{2}$ in frame of reference/gravity $x_{3}$.
parw	pardu				$x_1$ is a leopard of species $x_2$
pare	parbi	pab	ratio rate		$x_{1}$ (me'o, fraction) is a ratio/rate of $x_{2}$ (quantity) with respect to $x_{3}$ (quantity), [$x_{2}$:$x_{3}$].
paro	palpi		palpate touch-feel		$x_1$ palpates/palps/touch-feels $x_2$ (surface structure)
para	palma		palm		$x_1$ is a palm tree (Palmae/Arecaceae) of species $x_2$
xwga					
xwna	xrata		snore snort		$x_1$ snores/snorts (intransitive verb)
xwma	cmana	ma'a	mountain	$nは山 (丘)	$x_{1}$ is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass $x_{2}$.
xwxa					
xwla					
xwsa					
xwfa			mosquito	$nは蚊	
xwha					
xwja	xrani	xai	injure	$nは$aを害する (傷附ける)	$x_{1}$ (event) injures/harms/damages victim $x_{2}$ in property $x_{3}$ (ka) resulting in injury $x_{4}$ (state).
xwza					
xwva					
xwra	xatra	xa'a	letter		$x_{1}$ is a letter/missive/[note] to intended audience $x_{2}$ from author/originator $x_{3}$ with content $x_{4}$.
xugu					
xugo	xrula	rul	flower	$nは花	$x_{1}$ is a/the flower/blossom/bloom [body-part] of plant/species $x_{2}$; (adjective:) $x_{1}$ is floral.
xunu	cunmi		millet		$x_{1}$ is a quantity of millet [grain] of species/strain $x_{2}$.
xuno	cunso	cun cu'o	random		$x_{1}$ is random/fortuitous/unpredictable under conditions $x_{2}$, with probability distribution $x_{3}$.
xumu	cumba		arthropod bug		$x_1$ is an arthropod; $x_1$ is a bug (broad sense)
xumo	xumbe		altered mental state		$x_1$ (person, being, entity) is in an altered and (medically/legally) abnormal state of mind due to substance/factors $x_2$, being in state (with characteristics) $x_3$, classification as such according to/by standard $x_4$
xuxu	cukre		CLL grammar		$x_1$ reflects/relates to/pertains to CLL (Lojbanic) grammatical standards in manner/aspect $x_2$, specific to version $x_3$ (contextless default: the most recent version that has been officially accepted by the Lojban language's governing body (presently, the BPFK))
xuxo	xukmi	xum xu'i	chemical		$x_{1}$ is an instance of substance/chemical/drug $x_{2}$ (individual or mass) with purity $x_{3}$.
xusu	cusna		magnitude size		$x_1$ (scalar-valued) is the norm/magnitude/size of concrete (and specific) mathematical object $x_2$ in norm space/according to metric (if relevant)/by definition/of type $x_3$
xuso	xutla	xul	smooth	$nは$aに對して滑らか (摩擦=小)	$x_{1}$ is smooth/even/[soft/silky] in texture/regularity.
xufo	xudvu				$x_1$ is an aldehyde related to chemical $x_2$
xuhu	xruki	xuk	turkey		$x_{1}$ is a turkey [food/bird] of species/breed $x_{2}$.
xuho					
xuzu	xruba	xub	buckwheat		$x_{1}$ is a quantity of buckwheat/rhubarb/sorrel grass of species/strain $x_{2}$.
xuzo	xurdo	xur xu'o	Urdu		$x_{1}$ reflects Urdu language/culture/nationality in aspect $x_{2}$.
xuvo	curve	cuv	pure		$x_{1}$ is pure/unadulterated/unmitigated/simple in property $x_{2}$ (ka).
xuru	xusra	xus xu'a	assert claim		$x_{1}$ (agent) asserts/claims/declares $x_{2}$ (du'u) is true [can be used for epistemology of authority].
xuro	xugri				$x_1$ returns to being the case.
xege					
xega					
xeni	xendo	xed xe'o	kind		$x_{1}$ (person) is kind to $x_{2}$ in actions/behavior $x_{3}$.
xene	xenru	xer xe'u	regret		$x_{1}$ regrets/rues (abstraction) $x_{2}$; $x_{1}$ is regretful/rueful/sorry/[remorseful] about $x_{2}$.
xenq	xindo	xin	Hindi		$x_{1}$ reflects Hindi language/culture/religion in aspect $x_{2}$.
xena	xinro		Indo-European IE		$x_1$ reflects Indo-European culture/language in aspect $x_2$
xemi	cmiju		mite louse		$x_1$ is a mite/louse/aphid (tiny arthropod) of species/variety $x_2$
xeme	xinmo	xim	ink		$x_{1}$ is a quantity of ink of color/pigment $x_{2}$ used by writing device $x_{3}$.
xemq	xenmu				$x_1$ very greatly has property $x_2$ relatively to population $x_3$.
xema	xirma	xir xi'a	horse	$nは馬 (馬屬)	$x_{1}$ is a horse/equine/[colt/mare/stallion/pony] of species/breed $x_{2}$.
xexe	xexto				$x_1$ pertains to Xextan in aspect $x_2$
xexa	xexso	xex	1E18 exa-		$x_{1}$ is $10^{18}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
xeli					
xele	xekce		xekce		$x_1$ acts Lojbanically cruel/pedantic toward $x_2$ in manner $x_3$ (ka)
xelq	xecto	xet cto	100		$x_{1}$ is a hundred [100; $10^2$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
xela					
xese	xispo	xip	Hispanic Latino		$x_{1}$ reflects Hispano-American culture/nationalities in aspect $x_{2}$.
xesa	xelso	xes	Greek		$x_{1}$ reflects Greek/Hellenic culture/nationality/language in aspect $x_{2}$.
xefi	cfipu	fi'u	confusing		$x_{1}$ (event/state) confuses/baffles $x_{2}$ [observer] due to [confusing] property $x_{3}$ (ka).
xefe					
xefq					
xefa					
xehe					
xeha					
xeji	xekri	xek xe'i	black	$nは黑い (明度=最小)	$x_{1}$ is black/extremely dark-colored [color adjective].
xeje	xriso	xis xi'o	Christian		$x_{1}$ pertains to the Christian religion/culture/nationality in aspect $x_{2}$.
xejq					
xeja	xedja	xej xe'a	jaw		$x_{1}$ is a/the jaw [body-part] of $x_{2}$.
xeze					
xeza					
xevi	xebni	xen xei	hate	$nは$aを憎惡する	$x_{1}$ hates/despises $x_{2}$ (object/abstraction); $x_{1}$ is full of hate for $x_{2}$; $x_{2}$ is odious to $x_{1}$.
xeve					
xevq					
xeva					
xeri	xerno		Irish Ireland		$x_1$ reflects Irish/Hibernian culture/geography/nation/history/language in property $x_2$
xere	xebro	xeb bro	Hebrew		$x_{1}$ reflects Hebrew/Jewish/Israeli culture/nationality/language in aspect $x_{2}$.
xerq	xislu	xil xi'u	wheel		$x_{1}$ is a wheel [tool] of device/vehicle $x_{2}$, made of materials/having properties $x_{3}$.
xera	xilva		heal recover	$nは恢復する	$x_1$ heals/recovers from $x_2$
xogu					
xogo					
xoga					
xonu	condi	con cno coi	deep		$x_{1}$ is deep in extent in direction/property $x_{2}$ away from reference point $x_{3}$ by standard $x_{4}$.
xono	xanto		elephant		$x_{1}$ is an elephant of species/breed $x_{2}$.
xona	conka		functional		$x_1$ is functional / usable for function $x_2$
xomu	xruti	xru	return undo		$x_{1}$ (agent) returns $x_{2}$ to origin/earlier state $x_{3}$ from $x_{4}$; $x_{1}$ moves/gives $x_{2}$ back to $x_{3}$ from $x_{4}$.
xomo	cmoni	cmo co'i	moan		$x_{1}$ utters moan/groan/howl/scream [non-linguistic utterance] $x_{2}$ expressing $x_{3}$ (property).
xoma	cmalu	cma	small	$nは小さい	$x_{1}$ is small in property/dimension(s) $x_{2}$ (ka) as compared with standard/norm $x_{3}$.
xoxu					
xoxo	ckopi		scorpion		$x_1$ is a scorpion/vinegaroon (stinging arachnid) of species/variety $x_2$
xoxa					
xola	ctuca	ctu	teach		$x_{1}$ teaches audience $x_{2}$ ideas/methods/lore $x_{3}$ (du'u) about subject(s) $x_{4}$ by method $x_{5}$ (event).
xosu	xoltu		sea cucumber		$x_1$ is a sea cucumber of species/variety $x_2$
xoso	xrotu		affection affectionate		$x_1$ is affectionate with $x_2$
xosa					
xofo					
xofa					
xohu					
xoho	xlobi				$x_1$ is a hobby of $x_2$
xoha					
xoja	xorlo		xorlo		$x_1$ reflects/relates to/pertains to xorlo (Lojbanic) grammatical standards in manner/aspect $x_2$, specific to version $x_3$ (contextless default: the most recent version that has been officially accepted by the Lojban language's governing body (presently, the BPFK))
xozu					
xozo					
xoza					
xovo					
xova					
xoru	xunre	xun xu'e	red	$nは赤い	$x_{1}$ is red/crimson/ruddy [color adjective].
xoro	cukla	cuk	round	$nは圓, 球	$x_{1}$ is round/circular [2-dimensional shape/form]; $x_{1}$ is a disk/circle/ring.
xora	xotli	xol xoi	hotel		$x_{1}$ is a hotel/inn/hostel at location $x_{2}$ operated by $x_{3}$.
xagw					
xage					
xago	xango		Korean		$x_1$ reflects Korean culture/nationality/language in aspect $x_2$
xaga					
xanw	xadni	xad	body	$nは肉體	$x_{1}$ is a/the body/corpus/corpse of $x_{2}$; (adjective:) $x_{1}$ is corporal/corporeal.
xane	xance	xan xa'e	hand	$nは手	$x_{1}$ is a/the hand [body-part] of $x_{2}$; [metaphor: manipulating tool, waldo].
xano	xalbo		levity		$x_{1}$ uses levity/is non-serious/frivolous about $x_{2}$ (abstraction).
xana	xarnu		stubborn		$x_{1}$ is stubborn/willfully opposing/resisting $x_{2}$ about $x_{3}$ (event/state).
xamw	xanmi				$x_1$ pertains to the animist culture/religion/ethos (animism) in aspect $x_2$
xame	xamgu	xag xau	fine good		$x_{1}$ (object/event) is good/beneficial/nice/[acceptable] for $x_{2}$ by standard $x_{3}$.
xamo	xarmi		starfish sea star		$x_1$ is a starfish/sea star/sand dollar (radially symmetric invertebrate) of species/variety $x_2$
xama	xajmi	xam	funny		$x_{1}$ is funny/comical to $x_{2}$ in property/aspect $x_{3}$ (nu/ka); $x_{3}$ is what is funny about $x_{1}$ to $x_{2}$.
xaxw	xanka		nervous worry		$x_{1}$ is nervous/anxious about $x_{2}$ (abstraction) under conditions $x_{3}$.
xaxe	xaxre		are		$x_1$ is $x_2$ ares in area by standard $x_3$
xaxo	claxu	cau	without lack		$x_{1}$ is without/lacking/free of/lacks $x_{2}$; $x_{1}$ is $x_{2}$-less.
xaxa	xalka	xal	alcohol		$x_{1}$ is a quantity of/contains/is made of alcohol of type $x_{2}$ from source/process $x_{3}$.
xale	xarci	xac xa'i	weapon arm		$x_{1}$ is a weapon/arms for use against $x_{2}$ by $x_{3}$.
xala	xlali	xla	bad		$x_{1}$ is bad for $x_{2}$ by standard $x_{3}$; $x_{1}$ is poor/unacceptable to $x_{2}$.
xasw	xatsi	xat	1E-18		$x_{1}$ is $10^{-18}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
xase	xasne		sweat		$x_{1}$ is a/the sweat/perspiration from body $x_{2}$, excreted by gland(s)/organs $x_{3}$.
xaso	xaksu	xak	use up spend		$x_{1}$ (event) uses up/depletes/consumes/[wastes] $x_{2}$ [resource].
xasa	xasli		donkey		$x_{1}$ is a donkey/jackass of species/breed $x_{2}$.
xafw					
xafe	xamsi	xas	sea	$nは海	$x_{1}$ is a sea/ocean/gulf/[atmosphere] of planet $x_{2}$, of fluid $x_{3}$; (adjective:) $x_{1}$ is marine.
xafo	xampo	xap xa'o	ampere		$x_{1}$ is $x_{2}$ ampere(s) [metric unit] in current (default is 1) by standard $x_{3}$.
xafa	cfari	cfa	happen initiate	$nは存在する (起こる, 實現する, 實際である)	$x_{1}$ [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb).
xahw					
xahe					
xaho	xadji		grasping body part manipulating body part		$x_1$ is a body part of $x_2$ that is meant to dextrously manipulate or grasp objects (along with other potential purposes); $x_1$ is prehensile.
xaha					
xaje	xabju	xa'u	dwell	$nは$a (家) に居住する	$x_{1}$ dwells/lives/resides/abides at/inhabits/is a resident of location/habitat/nest/home/abode $x_{2}$.
xaja	xagji		be hungry		$x_{1}$ hungers for $x_{2}$; $x_{1}$ needs/wants food/fuel $x_{2}$.
xazw	xalda				$x_1$ is a blueberry [fruit] of species/variety $x_2$
xaze					
xazo	xazdo	xaz zdo	Asiatic		$x_{1}$ reflects Asiatic culture/nationality/geography in aspect $x_{2}$.
xaza	xadba	xab	half		$x_{1}$ is exactly/approximately half/semi-/demi-/hemi- of $x_{2}$ by standard $x_{3}$.
xavw					
xave					
xavo	xrabo	rab	Arabic		$x_{1}$ reflects Arabic-speaking culture/nationality in aspect $x_{2}$.
xava	xavli				$x_1$ reflects Hawaiian culture/language/people/geography in aspect $x_2$
xarw	xanri	xar	imaginary		$x_{1}$ [concept] exists in the imagination of/is imagined by/is imaginary to $x_{2}$.
xare	xalni		panic		$x_{1}$ (person) is panicked by crisis $x_{2}$ (event/state).
xaro	xarju	xaj	pig	$nは豚 (猪屬)	$x_{1}$ is a pig/hog/swine/[boar] [pork/ham/bacon-producer] of species/breed $x_{2}$.
xara	xagri		reed	$nは木管樂器	$x_{1}$ is a oboe/clarinet/saxophone [reed musical instrument] with reed $x_{2}$.
lige	cigla	cig	gland		$x_{1}$ is a/the gland [body-part] secreting $x_{2}$, of body $x_{3}$; $x_{2}$ is a secretion of $x_{1}$.
lini	cikna	cik	awake	$nは起きる (意識=有)	(adjective:) $x_{1}$ is awake/alert/conscious.
liny	citno	cit ci'o	young	$nは$aを基準として新た (若い) (經過時間=小)	$x_{1}$ is young/youthful [relatively short in elapsed duration] by standard $x_{2}$.
line	cinta		paint		$x_{1}$ [material] is a paint of pigment/active substance $x_{2}$, in a base of $x_{3}$.
limi	cimni		infinite		$x_{1}$ is infinite/unending/eternal in property/dimension $x_{2}$, to degree $x_{3}$ (quantity)/of type $x_{3}$.
limy	cimra		frog toad	$nは蛙 (無尾目)	$x_1$ is a frog/toad of species/variety $x_2$
lime	cinmo	cni	emotion feel	$nは$a (感情) を感ず	$x_{1}$ feels emotion $x_{2}$ (ka) about $x_{3}$.
lixe	cirko	cri	lose		$x_{1}$ loses person/thing $x_{2}$ at/near $x_{3}$; $x_{1}$ loses property/feature $x_{2}$ in conditions/situation $x_{3}$.
lili	ckilu	ci'u	scale		$x_{1}$ (si'o) is a scale of units for measuring/observing/determining $x_{2}$ (state).
lily	cicna		cyan		$x_{1}$ is cyan/turquoise/greenish-blue [color adjective].
lile	cilce	cic	wild		(adjective:) $x_{1}$ is wild/untamed.
lise	cilta	cil	thread		$x_{1}$ is a thread/filament/wire [shape/form] of material $x_{2}$.
lifi	cinse	cin	sexual		$x_{1}$ in activity/state $x_{2}$ exhibits sexuality/gender/sexual orientation $x_{3}$ (ka) by standard $x_{4}$.
lify	cisma		smile	$nは笑む	$x_{1}$ smiles/grins (facial expression).
life	cifnu	cif	infant baby		$x_{1}$ is an infant/baby [helpless through youth/incomplete development] of species $x_{2}$.
lihe	citka	cti	eat	$nは$a (食料) を食ふ	$x_{1}$ eats/ingests/consumes (transitive verb) $x_{2}$.
liji	cipra	cip	test	$nは$aを確認する (檢查する, 精查する, 試驗する)	$x_{1}$ (process/event) is a test for/proof of property/state $x_{2}$ in subject $x_{3}$ (individ./set/mass).
lijy	cirla		cheese		$x_{1}$ is a quantity of/contains cheese/curd from source $x_{2}$.
lije	ciblu	blu	blood	$nは血	$x_{1}$ is blood/vital fluid of organism $x_{2}$.
lize	cinza		pliers tongs	$nは箸 (鉗子)	$x_{1}$ is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for $x_{2}$ to pinch $x_{3}$.
livi	cinba		kiss	$nは$aに口附ける	$x_{1}$ (agent) kisses/busses $x_{2}$ at locus $x_{3}$.
livy	cizra	ciz	strange		$x_{1}$ is strange/weird/deviant/bizarre/odd to $x_{2}$ in property $x_{3}$ (ka).
live	civla	civ	louse		$x_{1}$ is a louse/flea [blood-sucking arthropod] of species/breed $x_{2}$, parasitic on $x_{3}$.
liri	cilmo	cim	moist wet	$nは濕る	$x_{1}$ is moist/wet/damp with liquid $x_{2}$.
liry	cinla		thin	$nは薄い (厚さ=小)	$x_{1}$ is thin in direction/dimension $x_{2}$ by standard $x_{3}$; [relatively short in smallest dimension].
lire	cidro	dro	hydrogen		$x_{1}$ is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable].
lyni	cinri	ci'i	interesting		$x_{1}$ (abstraction) interests/is interesting to $x_{2}$; $x_{2}$ is interested in $x_{1}$.
lymi	cinki		insect	$nは昆蟲	$x_{1}$ is an insect/arthropod of species $x_{2}$; [bug/beetle].
lyli	cnici	nic	orderly		$x_{1}$ is orderly/neat/ordered in property/quantity $x_{2}$ (ka/ni).
lyfi	cfine		wedge		$x_{1}$ is a wedge [shape/form/tool] of material $x_{2}$.
lyji	citri	cir	history		$x_{1}$ is a history of $x_{2}$ according to $x_{3}$ (person)/from point-of-view $x_{3}$.
lyvi	cpina		pungent		$x_{1}$ is pungent/piquant/peppery/spicy/irritating to sense $x_{2}$.
lyri	cilga		shrimp crayfish		$x1$ is a shrimp/crayfish/lobster of species/variety $x2$
