token	jbo	en	date	class	description	jbo description
vomu	vrude	good	2024-08-02	verb	$nは善良	$x_{1}$ is virtuous/saintly/[fine/moral/nice/holy/morally good] by standard $x_{2}$.
vohu	vrusi	taste	2024-02-13	verb	$nは$a (化學物質) を味はふ	$x_{1}$ (ka) is a taste/flavor of/emitted by $x_{2}$; $x_{2}$ tastes of/like $x_{1}$.
voru	vofli	fly	2024-07-28	verb	$nは$aを飛翔する	$x_{1}$ flies [in air/atmosphere] using lifting/propulsion means $x_{2}$.
vanw	vajni	care	2024-09-10	verb	$nは$aを氣に掛ける (關心=有)	$x_{1}$ (object/event) is important/significant to $x_{2}$ (person/event) in aspect/for reason $x_{3}$ (nu/ka).
vana	vanci	dusk	2026-05-12	verb	$nは$a (惑星) の昏	$x_{1}$ is an evening [from end-of-work until sleep typical for locale] of day $x_{2}$ at location $x_{3}$.
vama	vamtu	vomit	2024-06-14	verb	$nは$aを嘔吐する	$x_{1}$ vomits/regurgitates $x_{2}$; $x_{1}$ throws $x_{2}$ up; [violent] digestive expulsion.
vasw	valsi	word	2024-10-05	verb	$nは單詞	$x_{1}$ is a word meaning/causing $x_{2}$ in language $x_{3}$; (adjective: $x_{1}$ is lexical/verbal).
vasa	vasru	contain	2024-08-02	verb	$nは$aを內側に持つ (密度=有)	$x_{1}$ contains/holds/encloses/includes contents $x_{2}$ within; $x_{1}$ is a vessel containing $x_{2}$.
vare	vreta	lie	2024-08-30	verb	$nは$aに寢る (臥す)	$x_{1}$ lies/rests/reclines/reposes on $x_{2}$; $x_{1}$ is reclining/recumbent/lying on $x_{2}$.
rise	rinsa	greet	2024-02-13	verb	$nは$aへ挨拶する	$x_{1}$ (agent) greets/hails/[welcomes/says hello to]/responds to arrival of $x_{2}$ in manner $x_{3}$ (action).
rify	risna	heart	2024-09-02	verb	$nは心臟	$x_{1}$ is a/the heart [body-part] of $x_{2}$; [emotional/shape metaphors are NOT culturally neutral].
riji	linji	line	2026-05-12	verb	$nは線 (曲線, 直線)	$x_{1}$ is a line/among lines [1-dimensional shape/form] defined by set of points $x_{2}$.
rivy	limfa	lymph	2024-08-31	verb	$nは りんぱ	$x_1$ is a lymph of body $x_2$
rive	livga	liver	2024-09-02	verb	$nは肝臟	$x_{1}$ is a/the liver [body-part] of $x_{2}$.
rena	lenku	cold	2024-08-30	verb	$nは冷たい (寒い, 涼しい) (温度=小)	$x_{1}$ is cold/cool by standard $x_{2}$.
remi	remna	human	2024-02-13	verb	$nは人 (人屬)	$x_{1}$ is a human/human being/man (non-specific gender-free sense); (adjective:) $x_{1}$ is human.
rema	limna	swim	2024-08-19	verb	$nは$a (流體) を泳ぐ	$x_{1}$ (agent) swims in fluid $x_{2}$.
rexa	litki	liquid	2024-02-13	verb	$nは液體	$x_{1}$ is liquid/fluid, of composition/material including $x_{2}$, under conditions $x_{3}$.
rele	rectu	flesh	2024-02-13	verb	$nは筋肉	$x_{1}$ is a quantity of/contains meat/flesh from source/animal $x_{2}$.
rela	ractu	hare	2024-02-13	verb	$nは兔 (兔形目)	$x_{1}$ is a rabbit/hare/[doe] of species/breed $x_{2}$.
rehe		dative	2024-12-23	verb	$nは與格	
reza	respa	reptile	2024-02-13	verb	$nは爬虫綱に屬する	$x_{1}$ is a reptile of species/breed $x_{2}$.
reva	rebla	tail	2024-02-13	verb	$nは尾	$x_{1}$ is a/the tail/appendix [body-part] of $x_{2}$; [metaphor: trailing, following portion/appendage].
roma	runme	digest	2024-02-13	verb	$nは$aを消化する	$x_{1}$ melts [becomes liquid from solid state] at temperature $x_{2}$ and pressure $x_{3}$.
roxu	lorxu	fox	2024-02-13	verb	$nは狐	$x_{1}$ is a fox [bushy-tailed wild dog/canine] of species/breed $x_{2}$.
rosu	rotsu	thick	2024-02-13	verb	$nは厚い (厚さ=大)	$x_{1}$ is thick in dimension/direction $x_{2}$ by standard $x_{3}$; [relatively long in smallest dimension].
rofo	rufsu	rough	2024-08-24	verb	$nは$aに對して粗い (摩擦=大)	$x_{1}$ is rough/coarse/uneven/[grainy/scabrous/rugged] in texture/regularity.
rora	rorci	beget	2024-08-19	verb	$nは生殖する ($aを生む, $aの親である)	$x_{1}$ engenders/procreates/begets $x_{2}$ with coparent $x_{3}$.
ranw	ranti	soft	2024-09-26	verb	$nは$aに對して軟らかい (力に對する變形=大)	$x_{1}$ is soft/malleable/moldable/yielding to force $x_{2}$ in conditions $x_{3}$.
rane	lanme	sheep	2024-02-13	verb	$nは羊 (羊屬)	$x_{1}$ is a sheep/[lamb/ewe/ram] of species/breed $x_{2}$ of flock $x_{3}$.
rama	lamji	contact	2024-08-08	verb	$nは$aに接する (距離=最小)	$x_{1}$ is adjacent/beside/next to/in contact with $x_{2}$ in property/sequence $x_{3}$ in direction $x_{4}$.
raxw	ratcu	rat	2024-02-13	verb	$nは鼠 (齧歯目)	$x_{1}$ is a rat of species/breed $x_{2}$.
rala	lacri	trust	2024-08-02	verb	$nは$aを信ずる	$x_{1}$ relies/depends/counts on/trusts $x_{2}$ to bring about/ensure/maintain $x_{3}$ (event/state).
ravo	labno	wolf	2024-02-13	verb	$nは狼	$x_{1}$ is a wolf/lupine of species/breed $x_{2}$.
rare	ladru	milk	2024-08-31	verb	$nは乳	$x_{1}$ is made of/contains/is a quantity of milk from source $x_{2}$; (adjective:) $x_{1}$ is lactic/dairy.
raro	lalxu	lake	2026-05-10	verb	$nは湖	$x_{1}$ is a lake/lagoon/pool at site/within land mass $x_{2}$.
nenicaja		heat	2024-09-06	verb	$nの熱量は$a	$x_{1}$ is energy of type $x_{2}$ in form $x_{3}$. + $x_{1}$ is hot/[warm] by standard $x_{2}$.
daxetufo		kick	2024-11-23	verb	$nは$aを蹴る	$x_{1}$ hits/strikes/[beats] $x_{2}$ with instrument [or body-part] $x_{3}$ at locus $x_{4}$. + $x_{1}$ is a/the leg [body-part] of $x_{2}$; [metaphor: supporting branch].
vanwma		neglect	2024-09-10	verb	$nは$aを無視する (關心=最小)	$x_{1}$ (object/event) is important/significant to $x_{2}$ (person/event) in aspect/for reason $x_{3}$ (nu/ka). + digit/number: too few; subjective.
daxexane		punch	2024-11-23	verb	$nは$aを毆る	$x_{1}$ hits/strikes/[beats] $x_{2}$ with instrument [or body-part] $x_{3}$ at locus $x_{4}$. + $x_{1}$ is a/the hand [body-part] of $x_{2}$; [metaphor: manipulating tool, waldo].
